Dates,Temp (F),RH (%),Wind Spd (mph),Precip (in),Flow (ft^3 / s),Sample Flow
2012-04-02 20:00:00+00:00,61,67,13,0.0,68.0,71.9
2012-04-02 21:00:00+00:00,60,66,11,0.0,66.7,71.9
2012-04-02 22:00:00+00:00,59,64,14,0.0,66.7,71.9
2012-04-02 23:00:00+00:00,58,66,20,0.0,66.7,71.9
2012-04-03 00:00:00+00:00,57,63,16,0.0,66.7,71.9
2012-04-03 01:00:00+00:00,55,68,10,0.0,65.4,71.9
2012-04-03 02:00:00+00:00,52,71,8,0.0,65.4,71.9
2012-04-03 03:00:00+00:00,50,71,11,0.0,65.4,71.9
2012-04-03 04:00:00+00:00,50,65,16,0.0,64.2,71.9
2012-04-03 05:00:00+00:00,50,65,10,0.0,64.2,71.9
2012-04-03 06:00:00+00:00,50,65,8,0.0,64.2,71.9
2012-04-03 07:00:00+00:00,52,66,11,0.0,64.2,71.9
2012-04-03 08:00:00+00:00,52,76,13,0.0,64.2,71.9
2012-04-03 09:00:00+00:00,51,76,18,0.0,64.2,71.9
2012-04-03 10:00:00+00:00,52,68,20,0.0,65.4,71.9
2012-04-03 11:00:00+00:00,53,63,21,0.0,65.4,71.9
2012-04-03 12:00:00+00:00,52,68,20,0.0,66.7,71.9
2012-04-03 13:00:00+00:00,53,66,22,0.0,62.9,71.9
2012-04-03 14:00:00+00:00,57,59,23,0.0,62.9,71.9
2012-04-03 15:00:00+00:00,60,49,17,0.0,62.9,71.9
2012-04-03 16:00:00+00:00,60,42,21,0.0,64.2,71.9
2012-04-03 17:00:00+00:00,59,42,17,0.0,64.2,71.9
2012-04-03 18:00:00+00:00,58,47,14,0.0,65.4,71.9
2012-04-03 19:00:00+00:00,54,56,9,0.0,65.4,71.9
2012-04-03 20:00:00+00:00,53,58,5,0.0,64.2,71.9
2012-04-03 21:00:00+00:00,52,61,5,0.0,62.9,71.9
2012-04-03 22:00:00+00:00,47,70,7,0.0,64.2,71.9
2012-04-03 23:00:00+00:00,47,70,8,0.0,64.2,71.9
2012-04-04 00:00:00+00:00,47,68,6,0.0,64.2,71.9
2012-04-04 01:00:00+00:00,45,62,7,0.0,65.4,71.9
2012-04-04 02:00:00+00:00,43,62,6,0.0,65.4,71.9
2012-04-04 03:00:00+00:00,41,61,7,0.0,65.4,71.9
2012-04-04 04:00:00+00:00,42,57,6,0.0,64.2,71.9
2012-04-04 05:00:00+00:00,39,61,6,0.0,61.7,71.9
2012-04-04 06:00:00+00:00,38,64,7,0.0,61.7,71.9
2012-04-04 07:00:00+00:00,41,64,8,0.0,62.9,71.9
2012-04-04 08:00:00+00:00,47,53,8,0.0,62.9,71.9
2012-04-04 09:00:00+00:00,53,42,15,0.0,64.2,71.9
2012-04-04 10:00:00+00:00,55,39,10,0.0,64.2,71.9
2012-04-04 11:00:00+00:00,57,34,9,0.0,64.2,71.9
2012-04-04 12:00:00+00:00,59,30,9,0.0,61.7,71.9
2012-04-04 13:00:00+00:00,60,30,15,0.0,60.5,71.9
2012-04-04 14:00:00+00:00,62,30,15,0.0,61.7,71.9
2012-04-04 15:00:00+00:00,63,29,11,0.0,62.9,71.9
2012-04-04 16:00:00+00:00,62,28,13,0.0,62.9,71.9
2012-04-04 17:00:00+00:00,61,28,11,0.0,64.2,71.9
2012-04-04 18:00:00+00:00,60,28,11,0.0,64.2,71.9
2012-04-04 19:00:00+00:00,56,34,5,0.0,61.7,71.9
2012-04-04 20:00:00+00:00,53,39,7,0.0,59.2,71.9
2012-04-04 21:00:00+00:00,51,42,6,0.0,60.5,71.9
2012-04-04 22:00:00+00:00,50,44,5,0.0,60.5,71.9
2012-04-04 23:00:00+00:00,49,45,7,0.0,61.7,71.9
2012-04-05 00:00:00+00:00,48,47,5,0.0,61.7,71.9
2012-04-05 01:00:00+00:00,46,53,7,0.0,61.7,71.9
2012-04-05 02:00:00+00:00,43,57,8,0.0,61.7,71.9
2012-04-05 03:00:00+00:00,43,62,10,0.0,61.7,71.9
2012-04-05 04:00:00+00:00,41,73,9,0.0,61.7,71.9
2012-04-05 05:00:00+00:00,39,75,9,0.0,59.2,71.9
2012-04-05 06:00:00+00:00,39,69,13,0.0,59.2,71.9
2012-04-05 07:00:00+00:00,40,67,14,0.0,60.5,71.9
2012-04-05 08:00:00+00:00,42,62,14,0.0,60.5,71.9
2012-04-05 09:00:00+00:00,45,53,11,0.0,61.7,71.9
2012-04-05 10:00:00+00:00,48,47,10,0.0,62.9,71.9
2012-04-05 11:00:00+00:00,51,42,14,0.0,61.7,71.9
2012-04-05 12:00:00+00:00,54,33,13,0.0,59.2,71.9
2012-04-05 13:00:00+00:00,56,32,15,0.0,58.0,71.9
2012-04-05 14:00:00+00:00,58,31,10,0.0,58.0,71.9
2012-04-05 15:00:00+00:00,57,30,13,0.0,59.2,71.9
2012-04-05 16:00:00+00:00,57,28,9,0.0,60.5,71.9
2012-04-05 17:00:00+00:00,57,26,11,0.0,60.5,71.9
2012-04-05 18:00:00+00:00,54,33,10,0.0,60.5,71.9
2012-04-05 19:00:00+00:00,49,37,9,0.0,60.5,71.9
2012-04-05 20:00:00+00:00,46,41,7,0.0,60.5,71.9
2012-04-05 21:00:00+00:00,44,45,8,0.0,59.2,71.9
2012-04-05 22:00:00+00:00,43,46,6,0.0,58.0,71.9
2012-04-05 23:00:00+00:00,42,48,7,0.0,58.0,71.9
2012-04-06 00:00:00+00:00,40,57,8,0.0,58.0,71.9
2012-04-06 01:00:00+00:00,39,59,6,0.0,59.2,71.9
2012-04-06 02:00:00+00:00,36,66,7,0.0,59.2,71.9
2012-04-06 03:00:00+00:00,35,72,7,0.0,59.2,71.9
2012-04-06 04:00:00+00:00,34,75,5,0.0,59.2,71.9
2012-04-06 05:00:00+00:00,34,72,6,0.0,58.0,71.9
2012-04-06 06:00:00+00:00,31,78,9,0.0,56.9,71.9
2012-04-06 07:00:00+00:00,36,75,9,0.0,56.9,71.9
2012-04-06 08:00:00+00:00,41,57,13,0.0,56.9,71.9
2012-04-06 09:00:00+00:00,45,49,15,0.0,58.0,71.9
2012-04-06 10:00:00+00:00,49,42,10,0.0,58.0,71.9
2012-04-06 11:00:00+00:00,51,37,9,0.0,58.0,71.9
2012-04-06 12:00:00+00:00,54,36,14,0.0,58.0,71.9
2012-04-06 13:00:00+00:00,57,31,13,0.0,56.9,71.9
2012-04-06 14:00:00+00:00,58,29,14,0.0,56.9,71.9
2012-04-06 15:00:00+00:00,59,29,17,0.0,56.9,71.9
2012-04-06 16:00:00+00:00,59,30,15,0.0,58.0,71.9
2012-04-06 17:00:00+00:00,59,30,15,0.0,58.0,71.9
2012-04-06 18:00:00+00:00,56,35,14,0.0,59.2,71.9
2012-04-06 19:00:00+00:00,52,44,9,0.0,58.0,71.9
2012-04-06 20:00:00+00:00,51,47,11,0.0,55.7,71.9
2012-04-06 21:00:00+00:00,49,49,13,0.0,55.7,71.9
2012-04-06 22:00:00+00:00,47,53,11,0.0,56.9,71.9
2012-04-06 23:00:00+00:00,46,55,10,0.0,56.9,71.9
2012-04-07 00:00:00+00:00,46,55,10,0.0,58.0,71.9
2012-04-07 01:00:00+00:00,47,51,9,0.0,56.9,71.9
2012-04-07 02:00:00+00:00,48,49,13,0.0,56.9,71.9
2012-04-07 03:00:00+00:00,45,57,10,0.0,55.7,71.9
2012-04-07 04:00:00+00:00,42,64,13,0.0,54.5,71.9
2012-04-07 05:00:00+00:00,40,69,11,0.0,55.7,71.9
2012-04-07 06:00:00+00:00,42,64,14,0.0,55.7,71.9
2012-04-07 07:00:00+00:00,45,62,16,0.0,56.9,71.9
2012-04-07 08:00:00+00:00,48,58,16,0.0,56.9,71.9
2012-04-07 09:00:00+00:00,50,56,15,0.0,56.9,71.9
2012-04-07 10:00:00+00:00,52,52,16,0.0,56.9,71.9
2012-04-07 11:00:00+00:00,52,56,17,0.0,55.7,71.9
2012-04-07 12:00:00+00:00,50,76,18,0.01,54.5,71.9
2012-04-07 13:00:00+00:00,48,92,15,0.01,55.7,71.9
2012-04-07 14:00:00+00:00,48,96,14,0.01,56.9,71.9
2012-04-07 15:00:00+00:00,49,96,15,0.02,58.0,71.9
2012-04-07 16:00:00+00:00,52,86,10,0.0,58.0,71.9
2012-04-07 17:00:00+00:00,56,64,21,0.0,56.9,71.9
2012-04-07 18:00:00+00:00,54,48,17,0.0,54.5,71.9
2012-04-07 19:00:00+00:00,50,47,17,0.0,54.5,71.9
2012-04-07 20:00:00+00:00,46,57,11,0.0,55.7,71.9
2012-04-07 21:00:00+00:00,42,67,9,0.0,56.9,71.9
2012-04-07 22:00:00+00:00,41,67,10,0.0,59.2,71.9
2012-04-07 23:00:00+00:00,39,66,9,0.0,61.7,71.9
2012-04-08 00:00:00+00:00,38,67,8,0.0,61.7,71.9
2012-04-08 01:00:00+00:00,37,66,8,0.0,58.0,71.9
2012-04-08 02:00:00+00:00,36,69,10,0.0,56.9,71.9
2012-04-08 03:00:00+00:00,36,66,10,0.0,56.9,71.9
2012-04-08 04:00:00+00:00,35,66,9,0.0,58.0,71.9
2012-04-08 05:00:00+00:00,37,56,6,0.0,58.0,71.9
2012-04-08 06:00:00+00:00,33,71,9,0.0,58.0,71.9
2012-04-08 07:00:00+00:00,39,66,10,0.0,58.0,71.9
2012-04-08 08:00:00+00:00,46,51,14,0.0,58.0,71.9
2012-04-08 09:00:00+00:00,52,42,15,0.0,55.7,71.9
2012-04-08 10:00:00+00:00,58,34,23,0.0,55.7,71.9
2012-04-08 11:00:00+00:00,60,27,23,0.0,55.7,71.9
2012-04-08 12:00:00+00:00,62,24,26,0.0,56.9,71.9
2012-04-08 13:00:00+00:00,60,29,20,0.0,56.9,71.9
2012-04-08 14:00:00+00:00,57,34,20,0.0,56.9,71.9
2012-04-08 15:00:00+00:00,59,30,14,0.0,58.0,71.9
2012-04-08 16:00:00+00:00,62,25,23,0.0,55.7,71.9
2012-04-08 17:00:00+00:00,61,22,22,0.0,54.5,71.9
2012-04-08 18:00:00+00:00,59,20,18,0.0,54.5,71.9
2012-04-08 19:00:00+00:00,53,24,13,0.0,54.5,71.9
2012-04-08 20:00:00+00:00,50,29,8,0.0,55.7,71.9
2012-04-08 21:00:00+00:00,46,33,9,0.0,55.7,71.9
2012-04-08 22:00:00+00:00,44,39,9,0.0,56.9,71.9
2012-04-08 23:00:00+00:00,40,44,9,0.0,58.0,71.9
2012-04-09 00:00:00+00:00,38,50,8,0.0,56.9,71.9
2012-04-09 01:00:00+00:00,39,48,10,0.0,56.9,71.9
2012-04-09 02:00:00+00:00,38,50,10,0.0,54.5,71.9
2012-04-09 03:00:00+00:00,36,56,10,0.0,54.5,71.9
2012-04-09 04:00:00+00:00,37,53,10,0.0,54.5,71.9
2012-04-09 05:00:00+00:00,36,56,9,0.0,55.7,71.9
2012-04-09 06:00:00+00:00,32,65,9,0.0,55.7,71.9
2012-04-09 07:00:00+00:00,41,50,15,0.0,56.9,71.9
2012-04-09 08:00:00+00:00,44,39,17,0.0,56.9,71.9
2012-04-09 09:00:00+00:00,47,35,25,0.0,55.7,71.9
2012-04-09 10:00:00+00:00,48,35,26,0.0,53.4,71.9
2012-04-09 11:00:00+00:00,50,31,26,0.0,53.4,71.9
2012-04-09 12:00:00+00:00,50,29,30,0.0,54.5,71.9
2012-04-09 13:00:00+00:00,52,25,26,0.0,55.7,71.9
2012-04-09 14:00:00+00:00,52,27,28,0.0,55.7,71.9
2012-04-09 15:00:00+00:00,51,30,26,0.0,56.9,71.9
2012-04-09 16:00:00+00:00,50,30,23,0.0,55.7,71.9
2012-04-09 17:00:00+00:00,49,31,25,0.0,53.4,71.9
2012-04-09 18:00:00+00:00,46,36,23,0.0,53.4,71.9
2012-04-09 19:00:00+00:00,41,42,20,0.0,53.4,71.9
2012-04-09 20:00:00+00:00,38,47,15,0.0,54.5,71.9
2012-04-09 21:00:00+00:00,36,51,13,0.0,54.5,71.9
2012-04-09 22:00:00+00:00,33,58,9,0.0,55.7,71.9
2012-04-09 23:00:00+00:00,32,58,8,0.0,55.7,71.9
2012-04-10 00:00:00+00:00,30,63,7,0.0,53.4,71.9
2012-04-10 01:00:00+00:00,28,68,5,0.0,52.2,71.9
2012-04-10 02:00:00+00:00,28,68,6,0.0,53.4,71.9
2012-04-10 03:00:00+00:00,26,71,7,0.0,54.5,71.9
2012-04-10 04:00:00+00:00,24,77,8,0.0,54.5,71.9
2012-04-10 05:00:00+00:00,23,80,7,0.0,54.5,71.9
2012-04-10 06:00:00+00:00,24,77,7,0.0,55.7,71.9
2012-04-10 07:00:00+00:00,31,66,6,0.0,54.5,71.9
2012-04-10 08:00:00+00:00,36,54,13,0.0,54.5,71.9
2012-04-10 09:00:00+00:00,39,45,15,0.0,52.2,71.9
2012-04-10 10:00:00+00:00,41,42,20,0.0,52.2,71.9
2012-04-10 11:00:00+00:00,41,40,22,0.0,52.2,71.9
2012-04-10 12:00:00+00:00,44,36,17,0.0,53.4,71.9
2012-04-10 13:00:00+00:00,45,35,20,0.0,53.4,71.9
2012-04-10 14:00:00+00:00,45,36,14,0.0,54.5,71.9
2012-04-10 15:00:00+00:00,45,33,17,0.0,53.4,71.9
2012-04-10 16:00:00+00:00,44,36,18,0.0,52.2,71.9
2012-04-10 17:00:00+00:00,42,37,14,0.0,51.1,71.9
2012-04-10 18:00:00+00:00,41,39,15,0.0,52.2,71.9
2012-04-10 19:00:00+00:00,37,45,13,0.0,52.2,71.9
2012-04-10 20:00:00+00:00,34,51,8,0.0,52.2,71.9
2012-04-10 21:00:00+00:00,34,51,11,0.0,53.4,71.9
2012-04-10 22:00:00+00:00,33,51,13,0.0,53.4,71.9
2012-04-10 23:00:00+00:00,31,58,11,0.0,53.4,71.9
2012-04-11 00:00:00+00:00,30,60,9,0.0,53.4,71.9
2012-04-11 01:00:00+00:00,29,63,8,0.0,52.2,71.9
2012-04-11 02:00:00+00:00,28,65,8,0.0,52.2,71.9
2012-04-11 03:00:00+00:00,26,71,8,0.0,52.2,71.9
2012-04-11 04:00:00+00:00,25,74,8,0.0,53.4,71.9
2012-04-11 05:00:00+00:00,25,74,7,0.0,53.4,71.9
2012-04-11 06:00:00+00:00,25,77,8,0.0,53.4,71.9
2012-04-11 07:00:00+00:00,29,68,8,0.0,53.4,71.9
2012-04-11 08:00:00+00:00,34,58,7,0.0,53.4,71.9
2012-04-11 09:00:00+00:00,39,48,9,0.0,52.2,71.9
2012-04-11 10:00:00+00:00,42,42,10,0.0,50.0,71.9
2012-04-11 11:00:00+00:00,45,41,5,0.0,50.0,71.9
2012-04-11 12:00:00+00:00,48,37,3,0.0,51.1,71.9
2012-04-11 13:00:00+00:00,50,34,9,0.0,51.1,71.9
2012-04-11 14:00:00+00:00,52,31,7,0.0,52.2,71.9
2012-04-11 15:00:00+00:00,53,30,0,0.0,52.2,71.9
2012-04-11 16:00:00+00:00,55,28,0,0.0,52.2,71.9
2012-04-11 17:00:00+00:00,54,29,5,0.0,52.2,71.9
2012-04-11 18:00:00+00:00,53,32,3,0.0,52.2,71.9
2012-04-11 19:00:00+00:00,50,32,0,0.0,53.4,71.9
2012-04-11 20:00:00+00:00,48,35,5,0.0,51.1,71.9
2012-04-11 21:00:00+00:00,44,41,6,0.0,50.0,71.9
2012-04-11 22:00:00+00:00,41,46,5,0.0,51.1,71.9
2012-04-11 23:00:00+00:00,41,46,5,0.0,51.1,71.9
2012-04-12 00:00:00+00:00,37,53,7,0.0,52.2,71.9
2012-04-12 01:00:00+00:00,36,56,6,0.0,52.2,71.9
2012-04-12 02:00:00+00:00,34,66,7,0.0,52.2,71.9
2012-04-12 03:00:00+00:00,32,72,6,0.0,52.2,71.9
2012-04-12 04:00:00+00:00,33,66,6,0.0,52.2,71.9
2012-04-12 05:00:00+00:00,30,74,5,0.0,53.4,71.9
2012-04-12 06:00:00+00:00,29,78,6,0.0,52.2,71.9
2012-04-12 07:00:00+00:00,37,64,5,0.0,51.1,71.9
2012-04-12 08:00:00+00:00,46,47,5,0.0,50.0,71.9
2012-04-12 09:00:00+00:00,52,33,5,0.0,51.1,71.9
2012-04-12 10:00:00+00:00,54,31,6,0.0,51.1,71.9
2012-04-12 11:00:00+00:00,56,28,8,0.0,52.2,71.9
2012-04-12 12:00:00+00:00,58,26,10,0.0,52.2,71.9
2012-04-12 13:00:00+00:00,60,22,15,0.0,52.2,71.9
2012-04-12 14:00:00+00:00,61,23,6,0.0,52.2,71.9
2012-04-12 15:00:00+00:00,63,19,13,0.0,52.2,71.9
2012-04-12 16:00:00+00:00,61,22,6,0.0,50.0,71.9
2012-04-12 17:00:00+00:00,62,21,11,0.0,50.0,71.9
2012-04-12 18:00:00+00:00,59,26,9,0.0,51.1,71.9
2012-04-12 19:00:00+00:00,53,36,8,0.0,52.2,71.9
2012-04-12 20:00:00+00:00,53,36,10,0.0,51.1,71.9
2012-04-12 21:00:00+00:00,52,39,9,0.0,52.2,71.9
2012-04-12 22:00:00+00:00,51,42,10,0.0,52.2,71.9
2012-04-12 23:00:00+00:00,50,42,10,0.0,52.2,71.9
2012-04-13 00:00:00+00:00,50,42,13,0.0,51.1,71.9
2012-04-13 01:00:00+00:00,50,42,14,0.0,50.0,71.9
2012-04-13 02:00:00+00:00,51,42,14,0.0,48.9,71.9
2012-04-13 03:00:00+00:00,52,40,17,0.0,50.0,71.9
2012-04-13 04:00:00+00:00,51,40,18,0.0,51.1,71.9
2012-04-13 05:00:00+00:00,50,44,17,0.0,51.1,71.9
2012-04-13 06:00:00+00:00,50,45,21,0.0,51.1,71.9
2012-04-13 07:00:00+00:00,51,44,18,0.0,52.2,71.9
2012-04-13 08:00:00+00:00,50,56,22,0.0,52.2,71.9
2012-04-13 09:00:00+00:00,49,65,24,0.01,52.2,71.9
2012-04-13 10:00:00+00:00,48,79,24,0.01,51.1,71.9
2012-04-13 11:00:00+00:00,51,73,33,0.0,50.0,71.9
2012-04-13 12:00:00+00:00,52,71,29,0.0,51.1,71.9
2012-04-13 13:00:00+00:00,51,73,31,0.0,51.1,71.9
2012-04-13 14:00:00+00:00,50,79,25,0.0,53.4,71.9
2012-04-13 15:00:00+00:00,49,86,25,0.0,52.2,71.9
2012-04-13 16:00:00+00:00,50,86,30,0.0,54.5,71.9
2012-04-13 17:00:00+00:00,49,92,22,0.0,54.5,71.9
2012-04-13 18:00:00+00:00,49,92,21,0.0,55.7,71.9
2012-04-13 19:00:00+00:00,49,96,21,0.0,55.7,71.9
2012-04-13 20:00:00+00:00,49,96,16,0.0,55.7,71.9
2012-04-13 21:00:00+00:00,50,96,20,0.0,54.5,71.9
2012-04-13 22:00:00+00:00,50,100,22,0.05,54.5,71.9
2012-04-13 23:00:00+00:00,52,93,20,0.07,52.2,71.9
2012-04-14 00:00:00+00:00,51,100,15,0.0,51.1,71.9
2012-04-14 01:00:00+00:00,53,96,14,0.0,50.0,71.9
2012-04-14 02:00:00+00:00,53,96,13,0.0,50.0,71.9
2012-04-14 03:00:00+00:00,53,96,15,0.0,48.9,71.9
2012-04-14 04:00:00+00:00,53,96,13,0.0,48.9,71.9
2012-04-14 05:00:00+00:00,52,96,8,0.0,48.9,71.9
2012-04-14 06:00:00+00:00,52,100,8,0.0,51.1,71.9
2012-04-14 07:00:00+00:00,52,100,13,0.0,51.1,71.9
2012-04-14 08:00:00+00:00,53,96,11,0.0,52.2,71.9
2012-04-14 09:00:00+00:00,56,90,13,0.0,52.2,71.9
2012-04-14 10:00:00+00:00,59,83,13,0.0,52.2,71.9
2012-04-14 11:00:00+00:00,61,80,14,0.0,51.1,71.9
2012-04-14 12:00:00+00:00,62,77,15,0.0,51.1,71.9
2012-04-14 13:00:00+00:00,66,67,16,0.0,51.1,71.9
2012-04-14 14:00:00+00:00,69,56,13,0.0,52.2,71.9
2012-04-14 15:00:00+00:00,70,43,14,0.0,52.2,71.9
2012-04-14 16:00:00+00:00,69,50,10,0.0,53.4,71.9
2012-04-14 17:00:00+00:00,67,54,8,0.0,53.4,71.9
2012-04-14 18:00:00+00:00,64,64,7,0.0,53.4,71.9
2012-04-14 19:00:00+00:00,62,72,6,0.0,53.4,71.9
2012-04-14 20:00:00+00:00,61,86,13,0.01,51.1,71.9
2012-04-14 21:00:00+00:00,57,87,7,0.0,51.1,71.9
2012-04-14 22:00:00+00:00,58,86,24,0.08,51.1,71.9
2012-04-14 23:00:00+00:00,58,86,20,0.01,51.1,71.9
2012-04-15 00:00:00+00:00,58,90,15,0.0,51.1,71.9
2012-04-15 01:00:00+00:00,58,93,22,0.01,51.1,71.9
2012-04-15 02:00:00+00:00,61,87,21,0.01,52.2,71.9
2012-04-15 03:00:00+00:00,61,87,13,0.0,52.2,71.9
2012-04-15 04:00:00+00:00,59,96,18,0.05,60.5,71.9
2012-04-15 05:00:00+00:00,59,93,13,0.0,66.7,71.9
2012-04-15 06:00:00+00:00,61,87,9,0.0,81.5,71.9
2012-04-15 07:00:00+00:00,61,93,9,0.0,84.3,71.9
2012-04-15 08:00:00+00:00,63,93,10,0.0,94.7,71.9
2012-04-15 09:00:00+00:00,65,90,16,0.0,111.0,71.9
2012-04-15 10:00:00+00:00,68,78,28,0.0,116.0,71.9
2012-04-15 11:00:00+00:00,70,75,23,0.0,129.0,71.9
2012-04-15 12:00:00+00:00,72,73,28,0.0,117.0,117.0
2012-04-15 13:00:00+00:00,75,68,31,0.0,102.0,117.0
2012-04-15 14:00:00+00:00,75,64,32,0.0,91.7,117.0
2012-04-15 15:00:00+00:00,76,59,32,0.0,82.9,117.0
2012-04-15 16:00:00+00:00,75,57,30,0.0,78.7,117.0
2012-04-15 17:00:00+00:00,74,59,23,0.0,75.9,117.0
2012-04-15 18:00:00+00:00,71,61,36,0.0,74.6,117.0
2012-04-15 19:00:00+00:00,69,70,28,0.0,71.9,117.0
2012-04-15 20:00:00+00:00,66,82,28,0.0,66.7,117.0
2012-04-15 21:00:00+00:00,55,83,10,0.26,66.7,117.0
2012-04-15 22:00:00+00:00,56,74,16,0.0,66.7,117.0
2012-04-15 23:00:00+00:00,57,68,24,0.0,65.4,117.0
2012-04-16 00:00:00+00:00,56,71,22,0.0,65.4,117.0
2012-04-16 01:00:00+00:00,55,77,21,0.0,65.4,117.0
2012-04-16 02:00:00+00:00,54,76,23,0.0,64.2,117.0
2012-04-16 03:00:00+00:00,50,93,25,0.0,140.0,117.0
2012-04-16 04:00:00+00:00,46,92,23,0.0,156.0,117.0
2012-04-16 05:00:00+00:00,43,96,22,0.0,159.0,117.0
2012-04-16 06:00:00+00:00,39,92,26,0.0,138.0,117.0
2012-04-16 07:00:00+00:00,37,93,26,0.0,119.0,117.0
2012-04-16 08:00:00+00:00,38,92,28,0.0,104.0,117.0
2012-04-16 09:00:00+00:00,39,85,25,0.0,91.7,117.0
2012-04-16 10:00:00+00:00,39,81,22,0.0,82.9,117.0
2012-04-16 11:00:00+00:00,40,82,29,0.0,77.3,117.0
2012-04-16 12:00:00+00:00,41,82,23,0.0,75.9,117.0
2012-04-16 13:00:00+00:00,42,78,23,0.0,74.6,117.0
2012-04-16 14:00:00+00:00,43,76,22,0.0,73.2,117.0
2012-04-16 15:00:00+00:00,43,76,24,0.0,69.3,117.0
2012-04-16 16:00:00+00:00,43,76,18,0.0,66.7,117.0
2012-04-16 17:00:00+00:00,43,73,20,0.0,66.7,117.0
2012-04-16 18:00:00+00:00,41,73,16,0.0,68.0,117.0
2012-04-16 19:00:00+00:00,40,79,15,0.0,69.3,117.0
2012-04-16 20:00:00+00:00,39,81,8,0.0,69.3,117.0
2012-04-16 21:00:00+00:00,38,82,8,0.0,68.0,117.0
2012-04-16 22:00:00+00:00,37,85,7,0.0,65.4,117.0
2012-04-16 23:00:00+00:00,34,92,6,0.0,64.2,117.0
2012-04-17 00:00:00+00:00,34,92,5,0.0,64.2,117.0
2012-04-17 01:00:00+00:00,33,91,6,0.0,64.2,117.0
2012-04-17 02:00:00+00:00,33,91,6,0.0,64.2,117.0
2012-04-17 03:00:00+00:00,33,91,3,0.0,64.2,117.0
2012-04-17 04:00:00+00:00,33,91,8,0.0,62.9,117.0
2012-04-17 05:00:00+00:00,32,95,5,0.0,60.5,117.0
2012-04-17 06:00:00+00:00,31,100,5,0.0,60.5,117.0
2012-04-17 07:00:00+00:00,36,89,3,0.0,60.5,117.0
2012-04-17 08:00:00+00:00,40,79,7,0.0,60.5,117.0
2012-04-17 09:00:00+00:00,44,65,0,0.0,61.7,117.0
2012-04-17 10:00:00+00:00,48,62,5,0.0,61.7,117.0
2012-04-17 11:00:00+00:00,51,56,9,0.0,61.7,117.0
2012-04-17 12:00:00+00:00,53,58,8,0.0,59.2,117.0
2012-04-17 13:00:00+00:00,55,56,13,0.0,58.0,117.0
2012-04-17 14:00:00+00:00,57,57,11,0.0,59.2,117.0
2012-04-17 15:00:00+00:00,59,53,14,0.0,59.2,117.0
2012-04-17 16:00:00+00:00,58,53,13,0.0,60.5,117.0
2012-04-17 17:00:00+00:00,60,49,16,0.0,60.5,117.0
2012-04-17 18:00:00+00:00,58,53,13,0.0,60.5,117.0
2012-04-17 19:00:00+00:00,57,57,14,0.0,58.0,117.0
2012-04-17 20:00:00+00:00,56,61,15,0.0,56.9,117.0
2012-04-17 21:00:00+00:00,55,63,17,0.0,58.0,117.0
2012-04-17 22:00:00+00:00,54,64,22,0.0,58.0,117.0
2012-04-17 23:00:00+00:00,55,61,23,0.0,58.0,117.0
2012-04-18 00:00:00+00:00,54,66,20,0.0,58.0,117.0
